City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bestöbe,50,KZ,1604879031,76,52.5,73.1,37.26,25.99
Katherine,59,AU,1604879031,58,-14.47,132.27,87.8,9.17
Ushuaia,40,AR,1604878567,78,-54.8,-68.3,44.6,26.4
Punta Arenas,0,CL,1604879031,70,-53.15,-70.92,44.6,18.34
Ribeira Grande,56,PT,1604879031,59,38.52,-28.7,61.18,8.99
Arraial do Cabo,75,BR,1604878947,94,-22.97,-42.03,73.4,8.05
Albany,0,US,1604878851,57,42.6,-73.97,57.0,1.97
Nalhāti,0,IN,1604879032,74,24.3,87.82,65.37,5.44
Forestville,1,US,1604879032,77,38.85,-76.88,68.0,2.98
São João da Barra,50,BR,1604879032,92,-21.64,-41.05,75.24,11.07
Vaini,20,TO,1604878939,74,-21.2,-175.2,80.6,8.05
Port-Gentil,40,GA,1604879032,94,-0.72,8.78,77.0,4.7
Busselton,97,AU,1604878951,83,-33.65,115.33,62.01,14.65
Kruisfontein,100,ZA,1604879033,95,-34.0,24.73,57.0,3.0
Sayyan,0,YE,1604879033,50,15.17,44.32,50.2,4.25
Adré,37,TD,1604879033,29,13.47,22.2,70.9,12.28
Rikitea,92,PF,1604878863,77,-23.12,-134.97,72.95,16.42
Youhao,0,CN,1604879033,83,47.87,128.83,14.0,8.01
Hobart,5,AU,1604878817,48,-42.88,147.33,68.0,6.93
Namie,0,JP,1604879033,53,37.48,141.0,51.01,8.66
Cape Town,20,ZA,1604878742,62,-33.93,18.42,55.99,9.17
Amahai,98,ID,1604879033,68,-3.33,128.92,82.99,0.02
Yellowknife,75,CA,1604878609,79,62.46,-114.35,26.6,10.29
Faanui,43,PF,1604878869,79,-16.48,-151.75,79.0,15.59
Abhā,0,SA,1604879034,51,18.22,42.51,62.6,3.36
Kupang,20,ID,1604878786,79,-10.17,123.58,84.2,4.7
Klaksvík,100,FO,1604878861,93,62.23,-6.59,46.4,16.11
Ilulissat,100,GL,1604878945,56,69.22,-51.1,15.8,19.46
Upernavik,0,GL,1604878661,77,72.79,-56.15,-4.97,10.31
Novoagansk,100,RU,1604878914,99,61.94,76.66,32.14,11.59
Gabrovo,0,BG,1604879034,69,42.87,25.33,46.0,0.65
Kapaa,75,US,1604878816,74,22.08,-159.32,80.6,11.41
Fort Nelson,75,CA,1604878748,78,58.81,-122.7,17.6,4.7
Rodeo,90,US,1604879034,46,38.03,-122.27,55.99,5.82
Karratha,0,AU,1604878873,41,-20.74,116.85,78.53,9.1
Saint George,97,US,1604878956,86,37.1,-113.58,39.99,8.05
Tilichiki,81,RU,1604878729,93,60.47,166.1,10.08,11.97
Atuona,55,PF,1604878871,67,-9.8,-139.03,77.68,12.64
Thunder Bay,5,CA,1604878674,81,48.4,-89.32,51.8,4.7
Ambilobe,100,MG,1604878913,78,-13.2,49.05,74.07,5.73
Yar-Sale,87,RU,1604878873,98,66.83,70.83,19.9,6.85
Ust-Nera,28,RU,1604879035,80,64.57,143.2,-13.41,2.13
Dul'durga,81,RU,1604879035,96,50.68,113.59,27.91,2.28
Mandalgovi,0,MN,1604878946,87,45.76,106.27,25.77,4.74
Cabo San Lucas,5,MX,1604878764,65,22.89,-109.91,86.0,12.75
Bluff,91,NZ,1604878934,75,-46.6,168.33,55.99,7.0
Barrow,90,US,1604878802,85,71.29,-156.79,15.8,20.8
Aracati,0,BR,1604879036,71,-4.56,-37.77,81.97,17.18
Waingapu,89,ID,1604879036,51,-9.66,120.26,86.56,5.3
Bengkulu,99,ID,1604878868,91,-3.8,102.27,76.17,2.44
Constitución,64,CL,1604878862,72,-35.33,-72.42,56.71,11.01
Doka,16,SD,1604879036,28,13.52,35.77,75.25,5.14
Sobolevo,13,RU,1604879036,87,54.43,31.9,38.08,6.22
Barão de Melgaço,0,BR,1604879037,41,-16.19,-55.97,91.4,6.93
Mogocha,0,RU,1604879037,85,53.73,119.77,6.53,1.61
George Town,40,MY,1604878837,88,5.41,100.34,77.0,3.36
Castro,59,BR,1604878645,58,-24.79,-50.01,68.72,6.62
Avarua,85,CK,1604878864,69,-21.21,-159.78,78.8,5.82
Pevek,99,RU,1604878931,94,69.7,170.31,17.24,3.38
Sompeta,0,IN,1604879037,52,18.93,84.6,69.53,5.75
Ossora,3,RU,1604879037,85,59.24,163.07,23.49,8.88
Kilindoni,77,TZ,1604879037,79,-7.91,39.67,79.66,10.33
Rio Grande,59,BR,1604879037,82,-32.03,-52.1,64.45,14.7
Lodwar,29,KE,1604879038,56,3.12,35.6,81.63,10.47
Husavik,0,IS,1604878755,80,66.04,-17.34,30.2,5.82
Qaanaaq,58,GL,1604878882,71,77.48,-69.36,-7.82,10.45
Tuktoyaktuk,40,CA,1604878931,92,69.45,-133.04,10.4,5.82
Constantine,0,DZ,1604879038,47,36.37,6.61,57.2,2.24
San Patricio,40,US,1604878688,74,28.02,-97.52,78.8,16.11
Pochutla,75,MX,1604879038,69,15.74,-96.47,82.4,0.78
Acajutla,60,SV,1604879038,100,13.59,-89.83,72.0,5.44
Port Alfred,96,ZA,1604878860,81,-33.59,26.89,63.63,13.22
Esperance,0,AU,1604878901,56,-33.87,121.9,71.6,17.22
Coyhaique,0,CL,1604878789,40,-45.58,-72.07,68.0,5.82
Buala,44,SB,1604879039,61,-8.14,159.59,86.72,5.99
Tiksi,34,RU,1604878943,90,71.69,128.87,-9.38,3.71
Kaeo,34,NZ,1604879039,72,-35.1,173.78,64.0,10.0
Danville,1,US,1604878760,82,36.59,-79.39,64.0,3.2
Tomatlán,80,MX,1604879039,76,19.93,-105.25,79.14,5.17
Saint Paul Harbor,20,US,1604878873,49,57.79,-152.41,46.4,20.8
Puerto Ayora,11,EC,1604878668,80,-0.74,-90.35,70.0,5.99
Hilo,90,US,1604878841,55,19.73,-155.09,86.0,6.93
Vao,57,NC,1604879039,78,-22.67,167.48,71.06,20.4
Itarantim,35,BR,1604879040,94,-15.66,-40.07,68.23,3.09
Delhi,0,IN,1604879010,87,28.67,77.22,72.0,2.08
Hithadhoo,91,MV,1604878789,72,-0.6,73.08,83.84,8.01
Jamestown,1,US,1604878657,45,42.1,-79.24,62.6,5.82
Nome,0,US,1604879040,84,64.5,-165.41,30.99,7.0
Mirny,40,RU,1604878906,84,62.54,113.96,5.0,4.47
Tadine,35,NC,1604878913,64,-21.55,167.88,76.26,14.23
Cidreira,95,BR,1604878681,80,-30.18,-50.21,68.47,15.88
Touros,40,BR,1604878902,88,-5.2,-35.46,77.0,4.7
São Domingos,43,BR,1604879041,65,-13.4,-46.32,75.7,9.13
Mazagão,40,BR,1604879041,79,-0.12,-51.29,84.2,13.87
Pisco,0,PE,1604878890,82,-13.7,-76.22,64.4,20.8
Saskylakh,13,RU,1604878939,86,71.92,114.08,-7.91,14.38
Torbay,90,CA,1604878938,51,47.67,-52.73,37.0,12.75
Cepari,0,RO,1604879041,76,44.8,24.68,44.74,3.11
Mar del Plata,90,AR,1604878899,100,-38.0,-57.56,62.01,10.29
Davidson,75,US,1604879041,50,36.15,-86.78,77.0,6.93
Yulin,0,CN,1604879041,56,22.63,110.15,63.7,5.7
Vezirköprü,40,TR,1604879042,80,41.14,35.45,35.6,0.96
Chui,8,UY,1604878691,89,-33.7,-53.46,59.34,6.91
Thompson,90,CA,1604878688,85,55.74,-97.86,12.2,11.41
Manono,77,CD,1604879042,88,-7.3,27.42,70.7,2.57
Manavgat,0,TR,1604879042,47,36.79,31.44,66.0,2.24
Barra de Tecoanapa,41,MX,1604879042,76,16.52,-98.75,81.79,6.24
Souillac,40,MU,1604878954,88,-20.52,57.52,73.4,5.82
Marabba,0,SD,1604879043,19,12.35,32.18,77.86,10.92
Iracoubo,0,GF,1604879043,81,5.48,-53.2,80.04,12.3
East London,96,ZA,1604878621,76,-33.02,27.91,67.19,5.53
Atbasar,84,KZ,1604879043,91,51.8,68.33,32.54,27.2
Anadyr,75,RU,1604878805,92,64.75,177.48,15.8,6.71
Olafsvik,99,IS,1604878916,77,64.89,-23.71,41.63,19.51
Tikhvin,0,RU,1604879043,90,59.65,33.53,34.07,8.1
Ranong,75,TH,1604879043,100,9.97,98.63,75.2,5.35
Kassala,28,SD,1604879044,29,15.45,36.4,79.18,5.21
Hermanus,43,ZA,1604878863,91,-34.42,19.23,51.01,11.12
Huarmey,2,PE,1604878973,83,-10.07,-78.15,62.67,6.46
Teguise,20,ES,1604878945,77,29.06,-13.56,66.2,4.7
Waipawa,98,NZ,1604878931,66,-41.41,175.52,55.0,27.51
Kirakira,38,SB,1604879044,74,-10.45,161.92,84.13,2.77
Lata,0,PT,1604879044,91,40.16,-8.33,55.99,1.01
Gaza,0,PS,1604879044,82,31.5,34.47,66.0,3.36
Abnūb,0,EG,1604878922,59,27.27,31.15,62.6,9.17
High Level,5,CA,1604879044,73,58.52,-117.14,21.2,6.93
Severo-Kuril'sk,100,RU,1604878865,77,50.68,156.12,37.22,14.54
Safford,1,US,1604879045,19,32.83,-109.71,71.6,16.11
Póvoa de Lanhoso,23,PT,1604879045,90,41.58,-8.28,55.99,3.27
Brenham,1,US,1604879045,73,30.17,-96.4,73.4,3.36
Northam,69,GB,1604878937,94,51.03,-4.22,55.0,8.99
Soavinandriana,34,MG,1604879045,79,-19.17,46.73,60.31,4.74
Lompoc,20,US,1604878962,54,34.64,-120.46,55.4,20.8
Paphos,20,CY,1604878766,63,34.77,32.42,60.8,1.12
Bethel,1,US,1604878935,66,41.37,-73.41,60.01,2.06
Guder,82,ET,1604879045,75,8.97,37.77,54.3,3.06
Kaitangata,96,NZ,1604878869,76,-46.28,169.85,55.0,11.01
New Norfolk,4,AU,1604878870,40,-42.78,147.06,68.0,1.01
Mataura,99,NZ,1604878860,75,-46.19,168.86,55.99,7.0
Norman Wells,75,CA,1604878878,85,65.28,-126.83,19.4,9.17
Provideniya,90,RU,1604878880,97,64.38,-173.3,32.0,11.18
Hasaki,75,JP,1604878941,71,35.73,140.83,54.0,2.24
Rapid Valley,1,US,1604879046,69,44.06,-103.15,39.2,19.46
Gewanē,45,ET,1604879046,59,10.17,40.65,71.62,5.53
Darasun,90,RU,1604879046,92,51.67,114.0,19.4,4.47
Sukhumi,0,GE,1604879046,58,43.0,41.02,55.11,5.86
Ahipara,62,NZ,1604878987,78,-35.17,173.17,60.04,14.2
Bose,16,IT,1604879047,83,45.46,8.01,52.0,3.0
Areia Branca,0,BR,1604879047,68,-4.96,-37.14,80.82,23.87
Kavaratti,0,IN,1604878924,74,10.57,72.64,83.37,6.67
Tasiilaq,100,GL,1604878675,98,65.61,-37.64,31.21,32.75
Creel,0,MX,1604879047,73,27.75,-107.63,52.29,16.08
Bredasdorp,6,ZA,1604878658,81,-34.53,20.04,53.6,6.93
Mattru,65,SL,1604879047,97,7.62,-11.83,73.94,1.07
Taoudenni,72,ML,1604878708,16,22.68,-3.98,79.86,9.1
Pangai,20,TO,1604879048,74,-19.8,-174.35,80.6,8.05
Asău,20,RO,1604878975,100,46.43,26.4,42.01,3.36
San Quintín,57,MX,1604878725,63,30.48,-115.95,62.82,18.66
Paamiut,100,GL,1604878872,87,61.99,-49.67,23.81,44.43
Kalabo,1,ZM,1604879048,43,-14.97,22.68,76.64,7.2
Ancud,3,CL,1604878867,52,-41.87,-73.82,64.4,13.87
Ţahţā,0,EG,1604879048,48,26.77,31.5,64.4,9.17
Sibu,20,MY,1604878886,94,2.3,111.82,75.2,3.36
Aklavik,100,CA,1604878662,73,68.22,-135.01,21.2,5.82
Carnarvon,90,AU,1604878884,64,-24.87,113.63,71.6,10.29
Mahébourg,40,MU,1604878869,88,-20.41,57.7,73.4,5.82
Chokurdakh,100,RU,1604878941,91,70.63,147.92,-11.76,2.89
Fort Payne,75,US,1604878966,68,34.44,-85.72,71.6,8.05
Biltine,75,TD,1604878919,26,14.53,20.92,74.91,11.27
Waterloo,1,CA,1604879049,81,43.47,-80.52,55.99,5.32
Shaowu,0,CN,1604879049,52,27.34,117.48,56.7,1.03
Gorontalo,34,ID,1604878927,67,0.54,123.06,82.53,5.26
Avera,75,US,1604878960,83,33.19,-82.53,69.8,5.82
Butaritari,49,KI,1604878868,65,3.07,172.79,81.61,7.76
Nhulunbuy,86,AU,1604878988,62,-12.23,136.77,87.8,14.99
Morant Bay,100,JM,1604878904,99,17.88,-76.41,77.0,11.72
Saint-Philippe,0,RE,1604878955,73,-21.36,55.77,73.4,1.12
Port Macquarie,80,AU,1604878637,53,-31.43,152.92,70.0,1.01
Saint-Joseph,0,RE,1604878971,73,-21.37,55.62,69.8,1.12
Port Elizabeth,100,ZA,1604878867,95,-33.92,25.57,57.0,3.0
Amazar,0,RU,1604879050,84,53.86,120.88,6.42,2.48
Leshukonskoye,96,RU,1604878885,95,64.9,45.76,32.81,8.55
Hay River,1,CA,1604878908,67,60.82,-115.8,23.0,12.75
Lebu,0,CL,1604878860,90,-37.62,-73.65,52.63,19.44
Vila Velha,20,BR,1604878684,88,-20.33,-40.29,77.0,8.05
Nikolskoye,40,RU,1604878861,91,59.7,30.79,35.01,6.71
Okahandja,15,NA,1604879051,37,-21.98,16.92,69.8,3.36
Noumea,75,NC,1604878814,57,-22.28,166.46,78.8,16.11
Vallenar,0,CL,1604878958,58,-28.57,-70.76,63.37,2.28
Kisangani,100,CD,1604879051,98,0.52,25.2,71.2,2.68
Oxford,75,GB,1604878811,100,51.75,-1.26,54.0,4.74
Washington,20,US,1604879038,26,47.5,-120.5,46.4,5.82
Kralendijk,20,BQ,1604879051,79,12.15,-68.27,84.2,4.7
Monte Alegre,38,BR,1604879051,60,-2.01,-54.07,83.57,6.46
Richards Bay,84,ZA,1604878907,86,-28.78,32.04,74.08,14.34
Kavieng,87,PG,1604878935,67,-2.57,150.8,84.07,2.21
Port Hardy,20,CA,1604878711,52,50.7,-127.42,44.6,3.36
Kedrovyy,0,RU,1604878883,52,56.17,91.82,46.4,13.42
Porto Santo,40,PT,1604879052,72,33.07,-16.34,64.4,6.93
Dunedin,99,NZ,1604878674,78,-45.87,170.5,55.0,8.99
Aden,2,YE,1604879052,71,12.78,45.04,79.12,14.85
Dikson,96,RU,1604878947,94,73.51,80.55,1.98,12.21
Westport,1,US,1604878884,67,41.14,-73.36,62.01,3.36
Quatre Cocos,40,MU,1604878933,88,-20.21,57.76,73.4,5.82
Antigonish,16,CA,1604878999,81,45.62,-62.0,36.0,2.24
Prince Rupert,90,CA,1604878896,65,54.32,-130.32,42.8,4.7
Gambēla,91,ET,1604879052,83,8.25,34.58,72.03,3.18
Peniche,0,PT,1604879053,89,39.36,-9.38,60.01,3.0
Byron Bay,90,AU,1604879053,64,-28.65,153.62,68.0,14.99
Airai,37,TL,1604878960,40,-8.93,125.41,75.67,4.9
Khatanga,100,RU,1604878891,91,71.97,102.5,9.41,17.87
Chapais,40,CA,1604879053,100,49.78,-74.85,37.4,4.7
Codrington,60,AU,1604878949,68,-38.27,141.97,71.98,8.61
Guerrero Negro,12,MX,1604878949,54,27.98,-114.06,66.11,14.76
Caravelas,100,BR,1604879053,87,-17.71,-39.25,73.99,5.7
Broome,1,US,1604878873,31,42.25,-75.83,64.4,1.19
Sazonovo,0,RU,1604879054,95,59.09,35.23,32.45,7.85
Varberg,4,SE,1604879054,87,57.11,12.25,48.0,5.99
Am Timan,26,TD,1604879054,34,11.03,20.28,77.79,3.74
Ponta do Sol,20,PT,1604878864,55,32.67,-17.1,64.4,8.05
Yozgat Province,0,TR,1604878772,83,39.58,35.33,38.89,3.04
Yinzhu,0,CN,1604879054,80,35.88,119.98,35.6,4.47
Naze,75,JP,1604878882,60,28.37,129.48,69.8,13.87
Imbituba,75,BR,1604879020,83,-28.24,-48.67,71.6,4.7
Bilma,0,NE,1604878866,36,18.69,12.92,68.85,15.9
Berbera,14,SO,1604879055,74,10.44,45.01,78.58,2.26
Katobu,76,ID,1604879055,58,-4.94,122.53,86.52,1.14
Shache,100,CN,1604879055,58,38.42,77.24,36.14,1.79
Ormara,0,PK,1604878978,45,25.21,64.64,75.83,7.27
Narsaq,100,GL,1604878717,95,60.92,-46.05,32.0,1.12
Vila Franca do Campo,40,PT,1604878885,76,37.72,-25.43,57.2,3.36
Fortuna,1,US,1604878880,51,40.6,-124.16,52.0,18.34
Panjāb,43,AF,1604879055,79,34.39,67.02,25.27,0.92
The Valley,20,AI,1604878890,78,18.22,-63.06,82.4,12.75
Sirawai,64,PH,1604879056,76,7.59,122.14,82.15,1.83
Hansot,0,IN,1604879056,41,21.58,72.8,70.79,7.96
Ostrovnoy,100,RU,1604878915,98,68.05,39.51,31.64,28.21
Luwuk,76,ID,1604879056,60,-0.95,122.79,83.14,7.63
Whitianga,78,NZ,1604879056,70,-36.83,175.7,60.35,6.58
Apac,91,UG,1604879056,97,1.98,32.54,64.45,2.37
Magaria,90,NE,1604879056,27,13.0,8.91,71.46,10.29
San Cristobal,40,VE,1604878699,78,7.77,-72.22,80.6,9.17
Mayskiy,20,RU,1604879056,93,47.69,40.1,46.4,8.95
Kismayo,68,SO,1604878900,80,-0.36,42.55,79.27,4.36
Saldanha,8,ZA,1604878688,82,-33.01,17.94,55.4,3.36
Isangel,75,VU,1604878716,83,-19.55,169.27,78.8,5.82
Port Keats,50,AU,1604878877,58,-14.25,129.55,89.73,7.25
Sabang,100,ID,1604878697,75,5.89,95.32,80.91,2.08
Mount Forest,0,CA,1604879057,66,43.98,-80.72,57.0,2.24
Ulaanbaatar,0,MN,1604879018,77,47.91,106.88,6.8,2.24
Kieta,99,PG,1604878952,72,-6.22,155.63,84.13,5.21
Andra,100,RU,1604879057,98,62.51,65.89,28.0,3.24
Mossamedes,10,AO,1604878707,74,-15.2,12.15,69.31,7.25
Emba,88,KZ,1604878975,72,48.83,58.14,39.96,24.29
Hambantota,0,LK,1604878668,81,6.12,81.12,78.84,5.14
Coquimbo,20,CL,1604878739,82,-29.95,-71.34,57.2,11.41
Padang,97,ID,1604878897,74,-0.95,100.35,78.35,3.62
Leningradskiy,100,RU,1604878884,95,69.38,178.42,19.81,5.1
Mackay,75,AU,1604878716,73,-21.15,149.2,75.2,19.46
Kambove,34,CD,1604879058,70,-10.88,26.6,64.9,3.53
Province of Mantua,0,IT,1604879058,96,45.17,10.78,46.99,2.06
Sinnamary,5,GF,1604878892,82,5.38,-52.95,79.57,12.1
Senekal,100,ZA,1604879058,68,-28.32,27.62,68.11,12.06
Mayumba,99,GA,1604879058,87,-3.43,10.66,76.93,8.21
Ampanihy,0,MG,1604878989,49,-24.7,44.75,79.81,6.73
Santa Cruz del Norte,98,CU,1604879059,100,23.15,-81.92,75.0,5.01
Talcahuano,0,CL,1604879059,72,-36.72,-73.12,59.0,13.87
Qasigiannguit,100,GL,1604878972,56,68.82,-51.19,15.8,19.46
Salalah,0,OM,1604878932,65,17.02,54.09,77.0,3.36
Clyde River,1,CA,1604878945,70,70.47,-68.59,-0.4,20.8
Kahului,20,US,1604878722,46,20.89,-156.47,89.6,20.8
Tairua,71,NZ,1604879059,85,-37.02,175.85,62.01,5.99
Zihuatanejo,5,MX,1604879059,70,17.63,-101.55,86.0,5.82
Shar,100,KZ,1604879060,56,49.59,81.05,45.93,9.46
São Gabriel da Cachoeira,94,BR,1604879061,93,-0.13,-67.09,76.15,2.33
Ous,100,RU,1604879061,98,60.91,61.52,28.99,6.08
Margate,99,GB,1604878944,90,51.38,1.39,57.0,1.99
Soloneshnoye,100,RU,1604879061,74,51.65,84.32,38.52,3.15
Tottori-shi,40,JP,1604878813,93,35.5,134.23,50.0,4.7
Marsh Harbour,100,BS,1604879062,86,26.54,-77.06,77.94,36.48
Fenyi,0,CN,1604879062,55,27.81,114.67,56.19,1.28
Boyolangu,97,ID,1604878934,76,-8.12,111.89,79.59,2.42
Hong Kong,61,HK,1604878789,45,22.29,114.16,73.99,7.52
Esim,71,GH,1604878962,86,4.87,-2.24,78.22,7.47
Bekhtery,21,UA,1604879062,87,46.25,32.29,50.7,3.42
Ust'-Omchug,83,RU,1604879062,86,61.15,149.63,-6.52,5.48
Øksfjord,100,NO,1604879062,80,70.24,22.35,35.6,6.93
